route_id,service_id,trip_id,trip_headsign,shape_id
4VTA,FALLWKND2016,4FWKND16_IN_3VTA,West Tisbury,4INVTA
4VTA,HIGHDLY2016,4HDLY16_IN_1VTA,West Tisbury,4INVTA
4VTA,HIGHDLY2016,4HDLY16_IN_2VTA,West Tisbury,4INVTA
4VTA,HIGHDLY2016,4HDLY16_IN_3VTA,West Tisbury,4INVTA
4VTA,HIGHDLY2016,4HDLY16_IN_4VTA,West Tisbury,4INVTA
4VTA,SLATEWKND2016,4SLW16_IN_1VTA,West Tisbury,4INVTA
4VTA,FLATEWKND2016,4FLW16_IN_1VTA,West Tisbury,4INVTA

4VTA,APROCT2016,4APROCT16_OUT_1VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_2VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_3VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_4VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_5VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_6VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_7VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_8VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_9VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_10VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_11VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_12VTA,Chilmark,4OUTVTA
4VTA,APROCT2016,4APROCT16_OUT_13VTA,Chilmark,4OUTVTA
4VTA,SPRWKND2016,4SWKND16_OUT_1VTA,Chilmark,4OUTVTA
4VTA,SPRWKND2016,4SWKND16_OUT_2VTA,Chilmark,4OUTVTA
4VTA,SPRWKND2016,4SWKND16_OUT_3VTA,Chilmark,4OUTVTA
4VTA,HIGHDLY2016,4HDLY16_OUT_1VTA,Chilmark,4OUTVTA
4VTA,HIGHDLY2016,4HDLY16_OUT_2VTA,Chilmark,4OUTVTA
4VTA,HIGHDLY2016,4HDLY16_OUT_3VTA,Chilmark,4OUTVTA
4VTA,FALLWKND2016,4FWKND16_OUT_1VTA,Chilmark,4OUTVTA
4VTA,FALLWKND2016,4FWKND16_OUT_2VTA,Chilmark,4OUTVTA
4VTA,FALLWKND2016,4FWKND16_OUT_3VTA,Chilmark,4OUTVTA


5VTA,APROCT2016,5APROCT16_IN_1VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_2VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_3VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_4VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_5VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_6VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_7VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_8VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_9VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_10VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_11VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_12VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_13VTA,Aquinnah,5INVTA
5VTA,APROCT2016,5APROCT16_IN_14VTA,Aquinnah,5INVTA
5VTA,SPRWKND2016,5SWKND16_IN_1VTA,Aquinnah,5INVTA
5VTA,SPRWKND2016,5SWKND16_IN_2VTA,Aquinnah,5INVTA
5VTA,SPRWKND2016,5SWKND16_IN_3VTA,Aquinnah,5INVTA
5VTA,SPRWKND2016,5SWKND16_IN_4VTA,Aquinnah,5INVTA
5VTA,HIGHDLY2016,5HDLY16_IN_1VTA,Aquinnah,5INVTA
5VTA,HIGHDLY2016,5HDLY16_IN_2VTA,Aquinnah,5INVTA
5VTA,HIGHDLY2016,5HDLY16_IN_3VTA,Aquinnah,5INVTA
5VTA,HIGHDLY2016,5HDLY16_IN_4VTA,Aquinnah,5INVTA
5VTA,FALLWKND2016,5FWKND16_IN_1VTA,Aquinnah,5INVTA
5VTA,FALLWKND2016,5FWKND16_IN_2VTA,Aquinnah,5INVTA
5VTA,FALLWKND2016,5FWKND16_IN_3VTA,Aquinnah,5INVTA
5VTA,FALLWKND2016,5FWKND16_IN_4VTA,Aquinnah,5INVTA

5VTA,APROCT2016,5APROCT16_OUT_1VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_2VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_3VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_4VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_5VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_6VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_7VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_8VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_9VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_10VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_11VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_12VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_13VTA,West Tisbury,5OUTVTA
5VTA,APROCT2016,5APROCT16_OUT_14VTA,West Tisbury,5OUTVTA
5VTA,SPRWKND2016,5SWKND16_OUT_1VTA,West Tisbury,5OUTVTA
5VTA,SPRWKND2016,5SWKND16_OUT_2VTA,West Tisbury,5OUTVTA
5VTA,SPRWKND2016,5SWKND16_OUT_3VTA,West Tisbury,5OUTVTA
