route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
VINEYFBOAT,QUONSWEFABOAT,VINEY22BOAT,Quonset, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY23BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY24BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY25BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY26BOAT,Quonset, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY27BOAT,Quonset, , , 
VINEYFBOAT,QUONSTHFABOAT,VINEY28BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY29BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY30BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY31BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY32BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY33BOAT,Quonset, , , 
VINEYFBOAT,QUONSFRFABOAT,VINEY34BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDFABOAT,VINEY35BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDFABOAT,VINEY36BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDFABOAT,VINEY37BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDFABOAT,VINEY38BOAT,Quonset, , , 
VINEYFBOAT,QUONSTHOCBOAT,VINEY39BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSTHOCBOAT,VINEY40BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSTHOCBOAT,VINEY41BOAT,Quonset, , , 
VINEYFBOAT,QUONSTHOCBOAT,VINEY42BOAT,Quonset, , , 
VINEYFBOAT,QUONSFROCBOAT,VINEY43BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFROCBOAT,VINEY44BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSFROCBOAT,VINEY45BOAT,Quonset, , , 
VINEYFBOAT,QUONSFROCBOAT,VINEY46BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDOCBOAT,VINEY47BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDOCBOAT,VINEY48BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSENDOCBOAT,VINEY49BOAT,Quonset, , , 
VINEYFBOAT,QUONSENDOCBOAT,VINEY50BOAT,Quonset, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY51BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY52BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY53BOAT,Oak Bluffs, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY54BOAT,Quonset, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY55BOAT,Quonset, , , 
VINEYFBOAT,QUONSLABORBOAT,VINEY56BOAT,Quonset, , , 
PLYMOPROVIBOAT,PLYMO,PLYMO1BOAT,Provincetown, , , 
PLYMOPROVIBOAT,PLYMO,PLYMO2BOAT,Plymouth, , , 
